,Open,High,Low,Close
0,38.2,38.5,38.0,38.3
1,38.25,38.6,38.0,38.3
2,38.35,39.1,38.2,38.9
3,39.0,40.95,38.9,40.75
4,40.9,41.0,39.8,40.15
5,40.15,40.8,39.0,39.2
6,39.05,39.2,37.3,37.5
7,37.5,38.15,37.35,37.6
8,37.7,37.9,36.4,36.75
9,36.55,36.8,35.55,35.7
10,35.8,36.0,33.9,34.1
11,34.2,35.3,33.95,34.1
12,34.4,34.4,33.5,33.65
13,33.65,34.15,33.55,33.75
14,34.0,34.45,33.7,33.9
15,34.1,34.8,33.8,34.3
16,35.0,35.3,34.3,34.4
17,34.5,34.85,33.8,34.25
18,34.35,35.0,33.85,34.7
19,34.65,35.2,34.35,34.5
20,34.6,34.6,33.6,33.65
21,33.65,34.05,32.8,33.0
22,33.0,33.15,31.95,32.1
23,32.1,32.25,31.0,31.2
24,31.4,33.05,31.2,32.45
25,32.55,32.65,31.7,32.45
26,32.5,33.85,32.35,33.05
27,33.3,33.3,32.7,32.95
28,33.0,33.1,32.25,32.4
29,32.5,32.6,31.7,32.0
30,32.05,32.35,31.85,32.1
31,32.1,32.25,31.7,31.95
32,31.7,31.9,31.0,31.1
33,31.2,31.45,30.3,30.6
34,30.65,30.8,29.7,29.8
35,29.6,29.7,27.25,28.0
36,28.0,28.2,25.3,25.85
37,26.0,26.55,25.15,25.95
38,26.05,26.25,25.4,25.8
39,25.65,25.65,19.7,20.5
40,20.2,22.4,18.95,20.05
41,19.95,20.65,18.15,20.0
42,20.5,21.15,19.8,20.75
43,20.5,21.6,20.1,20.65
44,21.5,21.75,20.65,20.8
45,20.9,20.9,19.75,20.1
46,19.75,19.75,19.15,19.35
47,19.3,19.3,18.65,18.75
48,18.65,18.7,18.2,18.4
49,18.5,19.15,18.1,18.4
50,18.5,18.9,17.95,18.05
51,18.3,18.5,17.8,18.3
52,18.3,19.2,18.1,19.05
53,19.2,19.35,18.9,19.05
54,19.1,19.3,19.0,19.05
55,19.05,19.35,18.95,19.05
56,19.0,19.95,18.95,19.75
57,19.8,20.9,19.8,20.1
58,20.3,21.45,19.9,21.2
59,21.5,22.2,21.3,21.7
60,21.95,21.95,20.7,20.85
61,21.0,22.3,21.0,21.95
62,22.1,22.2,21.25,21.5
63,21.5,22.1,21.35,21.85
64,22.0,22.0,20.75,20.9
65,20.75,22.1,20.4,21.8
66,22.0,22.9,21.65,22.45
67,22.1,22.9,22.0,22.75
68,23.0,24.6,22.95,24.4
69,24.4,24.9,23.8,24.2
70,24.2,24.6,24.1,24.3
71,24.3,24.6,23.7,23.9
72,24.0,24.45,23.7,24.3
73,24.35,24.7,24.2,24.35
74,24.5,24.65,23.5,23.7
75,24.05,24.85,23.8,24.75
76,24.6,24.7,24.15,24.45
77,24.25,24.75,23.85,24.25
78,24.25,24.95,24.15,24.8
79,24.85,25.95,24.85,25.5
80,25.8,25.8,25.25,25.65
81,25.8,25.95,25.15,25.65
82,25.5,26.7,25.0,26.45
83,26.15,26.55,25.7,26.25
84,26.0,26.55,25.65,25.8
85,25.8,26.05,24.75,25.05
86,24.6,24.9,22.9,23.1
87,23.25,23.5,22.15,23.25
88,23.3,24.05,23.25,23.85
89,23.65,24.1,22.6,22.9
90,22.75,23.3,22.0,22.3
91,22.3,22.6,20.4,21.2
92,20.7,21.25,19.9,20.75
93,20.8,24.65,20.1,24.1
94,24.15,24.15,22.55,23.35
95,23.35,23.8,22.95,23.2
96,23.0,25.1,22.65,24.2
97,24.0,24.4,23.15,23.35
98,23.3,24.0,22.7,22.9
99,23.0,23.25,22.75,23.05
100,23.05,23.15,22.7,22.9
101,23.0,23.5,23.0,23.25
102,23.25,23.5,22.45,22.6
103,22.6,23.05,22.55,22.7
104,23.0,23.5,22.65,23.3
105,23.3,23.9,23.25,23.4
106,23.2,23.35,22.4,22.8
107,22.85,23.15,22.4,22.6
108,22.4,22.9,22.35,22.55
109,22.6,22.85,22.2,22.45
110,22.5,22.6,22.0,22.15
111,22.4,22.5,22.05,22.15
112,22.35,23.3,22.05,22.65
113,23.2,23.2,21.15,21.8
114,21.2,21.75,21.15,21.55
115,21.35,21.55,19.8,20.5
116,20.25,20.55,19.85,20.2
117,20.2,20.6,19.6,20.15
118,19.3,20.05,19.3,19.8
119,19.75,21.45,19.6,20.95
120,21.0,21.3,19.75,19.9
121,20.0,20.3,19.25,19.95
122,19.85,20.05,19.6,19.7
123,19.95,20.0,18.8,19.05
124,19.1,20.45,18.95,19.9
125,20.25,20.45,19.05,19.2
126,18.7,18.85,16.75,17.1
127,17.2,17.6,16.75,17.15
128,17.0,17.2,16.75,17.15
129,17.2,17.45,17.0,17.2
130,17.0,17.3,16.75,16.85
131,16.85,17.0,16.4,16.65
132,16.65,16.95,16.0,16.25
133,16.15,16.4,15.9,16.2
134,16.1,17.45,16.1,17.05
135,17.05,17.35,16.8,17.05
136,17.0,17.35,16.75,17.05
137,17.0,17.0,16.7,16.8
138,17.0,17.05,16.25,16.45
139,16.4,17.95,16.4,17.7
140,18.05,19.1,16.8,17.0
141,16.85,17.1,16.15,16.45
142,16.0,16.35,15.7,15.85
143,15.9,16.25,15.7,15.95
144,15.95,16.15,15.6,15.7
145,16.6,18.2,16.5,17.15
146,17.4,17.4,16.75,17.0
147,17.0,17.5,16.8,17.35
148,17.55,17.55,16.75,16.9
149,16.0,16.15,15.5,15.85
150,16.2,16.5,15.35,15.55
151,15.75,16.0,15.45,15.6
152,15.8,15.95,14.85,15.0
153,15.0,15.05,13.9,14.05
154,13.5,13.5,12.1,12.15
155,12.0,12.4,11.35,11.55
156,11.45,11.5,9.6,10.15
157,10.0,12.1,9.65,11.8
158,12.5,12.55,11.7,12.1
159,12.0,12.3,11.5,12.05
160,12.1,13.75,12.05,13.45
161,13.6,14.2,13.6,14.0
162,14.2,14.2,13.5,13.6
163,13.65,13.95,13.35,13.5
164,13.5,13.55,13.1,13.35
165,13.0,13.0,12.2,12.9
166,12.95,13.35,12.3,12.45
167,12.45,12.8,12.15,12.6
168,12.9,12.95,12.28,12.36
169,12.4,12.46,11.4,11.54
170,11.08,11.48,10.73,11.34
171,11.1,11.35,10.7,10.78
172,10.8,11.23,10.8,11.16
173,11.15,12.05,11.15,11.69
174,11.84,11.89,11.5,11.61
175,11.56,11.8,11.5,11.63
176,11.7,11.7,11.13,11.26
177,11.4,12.1,11.01,11.92
178,12.0,12.1,11.68,11.86
179,12.0,12.08,11.05,11.83
180,12.0,13.05,11.87,12.77
181,13.06,18.51,12.93,17.27
182,18.65,19.6,17.06,17.97
183,18.4,18.8,15.7,16.31
184,16.5,23.0,16.5,21.33
185,23.46,29.95,23.46,28.74
186,30.7,33.95,29.25,30.96
187,34.05,41.77,34.05,36.22
188,37.45,37.8,33.6,35.4
189,35.4,35.4,31.15,32.35
190,31.85,32.15,30.0,30.55
191,30.8,34.25,28.1,33.35
192,34.7,36.15,33.5,34.05
193,34.5,34.8,33.1,33.9
194,33.9,33.95,32.4,32.75
195,33.3,34.05,32.8,33.15
196,32.95,33.6,32.25,32.75
197,32.55,32.9,30.55,31.35
198,31.2,32.1,30.75,31.5
199,31.55,33.0,31.0,31.25
200,31.5,32.9,30.3,32.4
201,32.85,33.15,28.55,29.45
202,28.7,29.9,27.75,29.45
203,29.0,29.35,28.4,28.7
204,28.4,31.25,28.4,29.2
205,28.8,29.55,28.6,28.8
206,28.8,29.25,28.0,28.35
207,28.7,28.85,26.55,27.25
208,27.9,32.4,27.5,30.1
209,30.05,31.05,28.9,29.5
210,29.6,29.9,28.4,28.65
211,28.35,28.35,24.6,26.1
212,24.7,26.75,23.25,26.1
213,24.45,25.45,23.75,24.6
214,25.4,26.0,24.85,25.15
215,25.25,27.2,25.25,26.55
216,25.25,27.95,25.2,27.0
217,27.1,28.0,26.85,27.1
218,27.85,30.15,27.6,29.55
219,29.6,30.55,27.6,27.95
220,28.45,29.0,27.65,28.4
221,28.9,29.35,27.75,28.4
222,28.5,28.85,27.55,27.85
223,28.0,28.35,27.6,28.0
224,28.0,28.35,27.2,27.4
225,27.4,27.95,27.4,27.55
226,28.0,30.6,27.6,29.75
227,29.95,30.05,27.75,28.05
228,27.85,28.85,26.5,28.3
229,28.3,29.35,27.7,27.85
230,28.0,28.5,27.2,27.75
231,27.6,28.7,25.0,26.35
232,26.3,26.75,24.5,25.2
