,Open,High,Low,Close
0,90.45,90.67,87.27,87.77
1,94.35,94.72,93.13,93.68
2,91.8,94.63,90.39,93.07
3,95.07,95.2,91.14,91.92
4,97.17,104.25,95.2,95.63
5,97.28,98.35,95.66,96.91
6,93.77,97.56,93.6,97.04
7,90.29,93.17,89.17,92.67
8,88.36,90.56,87.93,89.88
9,88.74,88.74,85.63,87.59
10,79.73,87.64,79.73,86.27
11,90.1,91.04,86.57,86.98
12,90.77,90.95,88.97,89.4
13,92.34,93.37,91.38,92.53
14,94.06,94.35,91.95,92.16
15,94.77,96.61,92.04,92.85
16,91.57,95.29,90.87,94.38
17,94.77,94.77,89.35,91.0
18,92.46,94.16,91.1,93.52
19,93.5,94.26,90.13,90.8
20,99.07,101.42,94.26,95.15
21,98.03,99.98,95.91,99.31
22,97.23,103.67,95.28,98.04
23,103.31,104.82,100.29,100.84
24,100.94,104.63,98.5,102.72
25,102.37,102.37,98.34,99.86
26,104.26,105.0,100.96,101.87
27,104.26,105.46,102.89,104.39
28,107.09,108.31,103.91,104.38
29,106.8,107.47,105.54,106.68
30,104.61,106.33,104.61,105.97
31,107.08,109.26,102.42,103.9
32,111.14,113.1,109.22,110.64
33,112.28,113.22,110.6,111.51
34,113.69,115.01,111.24,113.0
35,113.22,115.01,112.48,113.65
36,112.94,113.59,111.93,112.91
37,113.88,114.16,112.37,112.82
38,111.91,113.97,110.51,112.92
39,115.2,115.72,110.88,111.46
40,107.56,115.96,107.38,113.51
41,109.07,111.23,106.9,107.38
42,110.96,111.68,108.6,109.01
43,110.86,113.19,109.6,110.94
44,111.33,112.27,108.46,110.67
45,115.58,116.24,110.14,110.76
46,115.3,116.33,114.97,115.5
47,117.94,117.94,114.22,115.24
48,116.05,118.39,115.58,116.2
49,114.16,116.35,114.16,115.37
50,115.86,116.7,113.63,114.09
51,116.05,116.51,114.08,115.3
52,113.21,116.51,109.73,115.43
53,108.03,109.24,106.29,108.5
54,110.96,111.33,106.84,107.27
55,114.64,115.58,110.4,110.81
56,117.37,117.37,113.89,114.44
57,117.47,118.66,116.44,117.4
58,119.54,120.77,117.0,117.35
59,118.41,119.73,116.99,119.37
60,117.65,118.83,117.21,118.32
61,117.75,118.41,116.71,117.55
62,118.46,118.88,116.33,116.62
63,118.41,119.45,117.61,118.02
64,115.11,117.84,114.16,117.55
65,114.64,115.58,113.8,114.55
66,116.29,116.29,112.75,114.28
67,116.98,118.69,113.69,114.76
68,119.35,120.71,114.69,115.93
69,120.01,120.86,114.03,119.67
70,116.05,120.3,115.48,119.3
71,116.33,116.99,114.64,115.39
72,111.62,116.43,111.32,115.87
73,117.25,117.88,109.92,111.32
74,126.43,126.43,116.05,117.25
75,127.09,129.07,125.98,127.7
76,126.81,127.8,125.7,127.01
77,126.43,127.84,125.67,126.25
78,128.3,128.78,125.92,126.16
79,128.81,130.08,127.0,127.41
80,123.98,129.26,123.89,128.34
81,123.13,124.83,123.03,123.98
82,122.19,124.99,121.62,122.77
83,119.37,122.45,119.03,122.04
84,118.5,121.04,118.48,120.45
85,117.32,119.07,117.32,118.47
86,117.94,119.16,117.0,118.25
87,116.33,118.57,116.05,117.84
88,114.16,117.37,113.98,116.41
89,113.31,115.15,111.33,114.09
90,114.64,117.09,113.7,115.57
91,111.51,115.86,110.89,115.11
92,106.62,111.75,106.33,111.16
93,107.28,108.16,105.92,106.31
94,107.56,107.74,106.62,107.3
95,106.27,108.26,106.05,107.08
96,106.62,107.18,105.67,106.66
97,104.16,107.27,103.24,106.43
98,105.48,105.58,103.52,104.26
99,106.05,106.61,104.31,104.66
100,106.51,106.99,105.2,106.27
101,105.67,107.09,104.45,106.05
102,103.31,105.86,102.7,105.3
103,103.6,105.11,102.0,103.36
104,100.65,103.97,100.65,103.29
105,100.72,103.31,100.2,103.14
106,96.71,101.05,95.98,100.56
107,98.12,98.41,96.43,96.66
108,99.99,99.99,97.68,98.14
109,98.03,99.07,97.84,98.24
110,98.97,99.57,97.04,97.82
111,97.64,99.12,97.56,98.56
112,98.95,98.95,96.47,97.45
113,96.9,97.56,95.77,96.86
114,98.03,98.03,96.14,96.39
115,95.47,97.65,93.9,97.12
116,97.18,97.65,94.36,94.81
117,97.75,98.21,96.62,96.8
118,97.27,98.21,96.36,97.61
119,98.41,98.45,97.19,97.36
120,95.95,98.68,95.95,98.04
121,97.37,97.65,95.39,95.76
122,95.39,97.93,89.62,97.49
123,97.18,97.56,96.25,97.02
124,94.54,98.01,94.11,97.07
125,95.29,95.55,93.91,94.29
126,91.97,94.42,91.39,94.24
127,91.9,92.81,91.24,91.63
128,92.84,93.41,91.43,92.02
129,92.44,93.41,92.27,92.78
130,91.99,92.51,91.05,91.95
131,94.33,94.33,91.83,92.25
132,94.26,94.26,92.46,93.51
133,91.98,92.65,91.18,92.44
134,98.41,98.41,90.58,92.13
135,88.27,91.79,88.27,91.46
136,87.27,88.4,86.07,87.93
137,89.16,89.26,85.95,86.6
138,88.69,89.26,87.57,88.98
139,88.97,89.35,88.08,88.57
140,89.16,89.88,88.57,89.47
141,88.22,89.65,88.22,88.97
142,88.17,88.68,87.89,88.16
143,87.56,88.3,87.28,87.86
144,88.03,88.6,87.27,87.75
145,87.18,88.16,86.54,87.9
146,86.94,87.64,86.64,86.91
147,85.76,87.08,85.01,86.69
148,84.29,86.22,83.22,85.27
149,81.24,82.72,80.67,82.47
150,82.46,99.39,81.09,81.39
151,83.78,84.34,82.19,82.83
152,82.84,83.92,81.71,83.28
153,83.17,83.67,82.23,82.91
154,83.88,84.43,82.51,82.99
155,82.6,84.48,82.6,83.7
156,81.14,82.78,80.48,82.31
157,81.5,82.25,80.4,80.98
158,81.35,82.14,80.34,81.22
159,78.88,82.6,76.9,81.66
160,76.71,78.66,76.71,78.45
161,75.86,76.9,75.12,76.52
162,78.03,78.03,75.57,76.23
163,77.93,79.34,77.46,78.32
164,76.42,78.26,76.05,77.99
165,75.48,77.01,75.01,76.5
166,75.67,77.5,75.03,76.43
167,72.65,75.48,71.53,75.17
168,71.33,73.88,68.41,71.98
169,70.75,71.79,69.73,71.13
170,70.29,71.14,69.65,70.47
171,66.9,70.39,66.57,69.89
172,68.31,68.31,66.43,67.56
173,66.05,69.43,66.05,68.48
174,66.8,67.15,64.55,65.05
175,66.75,66.8,65.25,66.19
176,68.71,69.47,65.95,66.63
177,68.58,69.92,67.65,69.6
178,69.48,70.19,68.46,69.03
179,68.06,69.77,67.56,69.48
180,68.69,69.57,68.22,68.74
181,67.74,69.06,67.18,68.84
182,71.14,71.41,67.67,68.01
183,71.14,71.56,69.96,70.59
184,71.71,71.97,70.6,71.21
185,70.76,71.75,70.23,71.26
186,69.25,70.31,68.89,70.04
187,68.4,69.63,68.09,68.63
188,67.65,68.59,66.54,66.89
189,68.31,68.39,66.97,67.44
190,68.4,69.91,67.52,68.9
191,71.23,71.52,68.32,68.7
192,72.56,72.56,70.68,71.12
193,72.65,72.93,70.88,71.96
194,70.76,73.59,70.67,72.96
195,69.16,81.61,68.59,69.8
196,70.75,71.9,68.4,69.49
197,72.18,72.47,69.73,71.02
198,74.07,75.92,71.35,72.43
199,70.57,73.5,70.57,72.94
200,70.86,73.49,68.51,69.92
201,69.6,72.06,67.48,70.85
202,73.58,74.31,69.82,70.32
203,69.82,74.9,67.08,72.79
204,75.64,75.95,71.83,72.4
205,77.27,87.84,74.24,76.15
206,75.97,81.71,74.78,79.33
207,79.74,79.74,76.42,76.85
208,77.16,80.14,76.19,79.12
209,79.16,79.82,76.71,77.26
210,80.39,80.48,76.71,78.41
211,83.41,83.41,81.05,81.18
212,82.84,83.78,82.09,83.24
213,82.19,84.63,81.61,82.22
214,80.29,82.75,78.83,82.0
215,83.22,85.18,79.94,81.51
216,71.23,83.5,71.23,82.17
217,81.61,83.02,75.48,81.24
218,87.27,89.16,80.76,81.9
219,92.94,92.94,84.47,85.67
220,88.57,94.73,88.03,93.44
221,87.26,88.12,84.36,87.13
222,90.58,90.94,86.34,87.23
223,92.18,92.3,90.37,90.52
224,95.03,95.2,91.62,92.09
225,93.43,95.05,92.27,94.47
226,90.29,92.41,89.6,92.0
227,90.58,90.86,89.63,90.27
228,90.63,91.29,89.69,89.91
229,90.86,91.6,89.63,90.33
230,88.5,91.67,88.23,90.69
231,86.52,88.69,86.24,88.41
232,83.5,86.8,83.41,86.2
233,83.52,83.77,80.76,83.25
234,86.14,87.25,83.84,84.41
235,84.39,86.33,83.97,85.81
236,86.43,88.03,83.98,85.02
237,87.27,87.27,85.15,86.32
238,88.59,89.32,86.09,86.84
239,88.69,89.26,87.49,88.32
240,89.44,90.1,88.03,88.46
241,89.16,93.41,88.23,88.88
242,86.9,88.4,85.86,87.97
243,88.69,88.69,84.55,86.63
244,91.24,91.5,87.56,88.35
245,92.27,92.94,89.87,90.9
246,95.11,95.77,91.76,92.33
247,94.26,95.48,94.07,94.97
248,93.12,94.89,93.12,93.99
249,91.38,93.41,91.06,92.79
250,91.52,92.44,90.82,91.34
251,93.18,93.38,90.68,91.1
252,92.8,93.26,92.49,92.76
253,93.6,93.72,92.38,92.71
254,92.98,94.17,92.66,93.14
255,92.27,93.57,91.99,92.69
256,89.82,92.83,89.82,91.96
257,91.71,92.09,88.82,89.5
258,91.61,93.17,91.05,91.39
259,91.19,91.94,91.05,91.57
260,91.33,92.22,90.58,90.7
261,90.58,91.7,90.4,90.76
262,87.76,92.17,87.18,90.07
263,87.27,88.4,87.1,87.64
264,86.08,87.65,85.83,86.82
265,84.25,85.62,82.7,85.47
266,85.86,86.8,83.45,83.81
267,84.82,85.8,83.17,85.26
268,84.63,85.48,84.35,84.53
269,84.54,85.71,84.26,84.46
270,83.59,85.29,83.29,84.37
271,83.03,83.82,82.27,83.19
272,84.44,84.86,82.28,82.76
273,83.03,84.35,82.65,84.07
274,80.67,83.0,80.67,82.69
275,82.09,82.29,80.16,80.46
276,82.09,82.84,81.61,81.78
277,81.9,82.44,81.61,81.87
278,81.24,81.8,80.86,81.53
279,82.18,82.46,80.69,80.92
280,82.08,82.86,81.76,81.92
281,82.08,82.69,81.33,81.83
282,83.51,83.87,81.81,81.96
283,83.22,83.88,83.06,83.37
284,83.22,83.92,82.65,82.99
285,83.22,83.25,81.92,82.93
286,82.06,83.12,81.8,82.63
287,81.05,82.5,80.77,81.58
288,81.05,82.51,80.58,80.87
289,82.56,82.81,81.19,81.61
290,83.97,84.43,81.72,82.04
291,83.51,84.33,82.85,83.67
292,85.95,86.52,83.12,83.36
293,84.82,86.69,84.44,86.18
294,85.58,85.86,83.06,83.52
295,85.85,86.45,84.82,85.04
296,85.09,86.23,84.57,85.05
297,86.3,86.71,85.11,85.5
298,84.56,86.8,84.56,85.7
299,85.86,85.86,83.36,84.28
300,86.8,87.44,85.4,85.6
301,87.35,87.7,86.39,86.68
302,88.22,88.45,86.92,87.16
303,84.44,88.26,83.77,88.03
304,87.04,88.19,85.49,85.9
305,88.79,89.25,86.86,87.43
306,88.75,89.71,87.9,88.71
307,86.8,89.16,86.8,88.81
308,86.29,87.11,86.29,86.63
309,85.67,86.32,85.5,86.01
310,85.84,86.55,85.11,85.4
311,84.35,86.07,84.26,85.62
312,84.83,85.58,83.71,84.17
313,84.08,85.7,83.64,84.78
314,82.32,84.33,81.34,84.1
315,84.92,84.92,81.63,81.97
316,86.05,86.52,83.78,84.17
317,85.77,86.46,85.25,85.89
318,87.98,88.21,84.92,85.59
319,89.44,89.44,87.3,87.98
320,87.37,89.33,87.07,88.88
321,84.58,87.27,83.55,87.06
322,87.84,88.2,84.21,84.64
323,87.37,88.6,86.99,87.59
324,85.65,87.74,85.39,87.44
325,85.38,86.23,84.92,85.73
326,83.73,85.02,83.69,84.74
327,83.88,83.96,82.69,83.6
328,84.0,84.04,83.13,83.69
329,84.44,84.69,82.48,83.02
330,86.33,86.59,83.78,84.19
331,86.36,87.84,85.68,85.97
332,84.63,86.43,84.07,86.2
333,86.71,87.65,84.19,84.56
334,88.41,88.41,85.89,86.43
335,86.14,88.94,85.93,88.09
336,86.05,86.39,85.58,85.92
337,85.1,85.84,84.49,85.58
338,84.73,85.71,84.41,84.96
339,82.99,84.91,82.57,84.59
340,84.56,85.14,82.23,82.5
341,86.21,86.21,83.64,84.15
342,86.33,86.97,85.13,85.86
