,Open,High,Low,Close
0,313.2,321.0,311.91,320.03
1,320.0,324.78,319.32,322.76
2,323.56,327.2,320.86,326.35
3,325.99,327.6,322.28,323.37
4,323.37,325.0,320.82,322.19
5,322.4,325.35,319.6,321.18
6,320.76,323.8,318.4,321.08
7,300.2,314.88,300.2,309.02
8,311.22,312.61,305.0,308.69
9,309.2,314.58,308.85,311.15
10,312.16,313.4,310.77,311.38
11,311.4,317.17,311.4,316.06
12,315.6,330.58,314.79,328.04
13,329.98,329.98,324.6,326.14
14,326.0,330.3,324.54,326.25
15,326.2,328.0,323.34,326.31
16,326.34,328.1,324.4,325.64
17,326.0,328.0,320.92,321.74
18,327.0,327.0,321.99,322.99
19,323.5,323.5,318.68,320.56
20,321.8,323.05,317.01,319.78
21,319.0,321.18,315.38,315.85
22,316.0,318.4,294.4,296.77
23,298.0,301.01,291.05,294.3
24,296.6,298.2,293.77,296.69
25,296.0,296.99,290.23,290.91
26,288.0,288.06,278.6,280.29
27,282.0,290.95,281.17,285.99
28,286.61,290.09,279.8,281.3
29,281.2,283.29,275.15,280.32
30,281.2,288.6,279.51,284.81
31,287.0,293.95,286.0,292.68
32,295.2,300.0,292.8,298.51
33,298.6,298.6,287.11,288.11
34,287.0,292.39,286.7,287.87
35,288.2,289.87,282.0,286.38
36,286.66,290.0,284.46,288.77
37,293.0,297.2,289.21,296.4
38,296.0,304.9,296.0,303.99
39,304.2,306.34,299.8,300.59
40,303.0,304.1,296.29,298.82
41,302.8,302.8,294.0,295.75
42,295.5,299.55,295.0,297.26
43,297.4,300.6,294.2,296.66
44,297.03,301.99,297.03,298.82
45,299.0,300.0,289.02,289.86
46,290.0,290.65,286.21,289.15
47,291.59,291.77,287.55,288.36
48,290.2,291.15,285.11,286.88
49,287.98,290.71,285.32,288.51
50,287.99,288.92,285.7,286.45
51,287.2,294.0,287.2,290.59
52,290.59,291.6,286.27,287.32
53,291.42,291.42,281.44,283.09
54,283.09,291.6,280.21,289.71
55,290.0,293.7,286.48,287.51
56,287.7,293.0,285.0,292.37
57,293.04,299.28,290.78,298.67
58,300.64,302.59,296.4,297.06
59,299.8,301.52,297.4,300.87
60,301.0,303.55,298.91,300.14
61,300.36,302.93,299.6,300.67
62,301.0,304.4,301.0,302.51
63,302.6,306.4,301.6,302.19
64,302.2,304.55,301.21,302.98
65,304.0,317.6,304.0,316.36
66,318.92,318.92,311.02,313.06
67,312.8,315.0,308.69,309.44
68,309.0,315.33,308.6,310.47
69,310.6,315.3,310.45,312.63
70,314.2,315.8,312.35,314.21
71,314.21,316.28,313.17,315.77
72,315.8,323.89,315.21,318.5
73,316.0,323.89,316.0,322.83
74,324.2,344.56,321.26,342.51
75,349.0,359.3,348.2,357.35
76,351.0,372.0,351.0,368.81
77,370.0,371.8,360.62,361.96
78,363.0,367.56,362.0,365.21
79,366.2,368.52,362.23,365.91
80,365.8,367.76,354.95,357.05
81,356.52,363.55,352.68,361.83
82,362.0,363.59,358.93,360.23
83,360.2,360.2,351.2,352.66
84,350.8,354.93,347.0,348.27
85,346.6,348.97,342.0,345.92
86,343.0,351.45,341.0,348.06
87,350.0,357.1,350.0,355.8
88,360.0,360.0,346.57,352.29
89,354.61,355.34,346.22,347.79
90,346.94,347.0,342.0,344.02
91,345.8,350.87,342.3,343.55
92,345.33,346.13,337.37,342.63
93,342.2,345.38,339.8,344.41
94,345.4,347.82,343.07,344.11
95,344.11,351.0,342.67,350.15
96,350.11,350.57,343.19,343.94
97,345.2,352.67,345.2,350.07
98,350.0,354.8,349.01,351.15
99,351.0,355.8,350.75,355.11
100,354.78,355.92,347.79,352.22
101,352.0,357.4,352.0,355.4
102,355.0,360.6,352.31,358.57
103,359.8,363.78,358.6,360.5
104,363.2,363.2,356.2,357.75
105,359.99,372.38,358.13,368.39
106,371.6,371.73,364.7,370.34
107,370.2,372.29,366.8,368.25
108,369.0,373.09,368.36,370.43
109,364.4,370.55,364.4,368.41
110,369.6,374.39,369.6,371.71
111,371.71,374.34,369.5,372.76
112,372.76,376.97,372.76,375.71
113,375.9,383.25,373.4,377.0
114,379.95,379.95,359.9,360.75
115,364.8,364.8,349.5,359.55
116,362.0,362.8,355.7,360.35
117,364.8,364.9,350.55,353.35
118,358.0,358.0,348.0,350.8
119,354.9,354.9,345.5,350.0
120,354.6,355.0,347.7,350.6
121,352.1,358.0,351.2,356.05
122,359.0,367.5,357.1,359.35
123,361.0,366.9,360.0,365.15
124,366.2,373.55,363.3,371.15
125,373.45,373.95,371.0,372.6
126,374.0,374.85,362.0,362.8
127,364.0,368.0,358.95,365.3
128,366.0,372.9,365.5,369.6
