,Open,High,Low,Close
0,37.0,37.09,36.1,36.92
1,37.1,38.09,36.74,36.99
2,38.21,38.21,36.8,36.97
3,38.8,40.1,37.55,38.08
4,37.2,40.4,37.2,38.41
5,36.64,36.99,36.24,36.79
6,36.59,36.65,36.03,36.49
7,37.0,37.0,36.31,36.48
8,36.9,37.92,36.3,36.71
9,36.5,36.5,35.4,36.19
10,36.27,36.58,35.81,36.1
11,36.88,37.37,35.82,36.1
12,36.79,37.1,36.25,36.52
13,37.0,37.99,35.9,36.32
14,36.2,36.8,36.0,36.63
15,36.8,37.7,36.31,36.67
16,38.2,38.2,36.5,36.64
17,36.43,37.59,36.3,37.29
18,35.83,36.3,35.35,35.83
19,35.45,36.05,35.15,35.97
20,36.0,36.4,35.06,35.19
21,35.7,36.0,35.52,35.88
22,35.8,36.0,35.11,35.58
23,36.0,36.0,35.16,35.41
24,35.7,36.01,35.6,35.8
25,35.77,36.04,35.21,35.58
26,36.3,36.6,35.0,35.34
27,35.12,36.6,34.61,36.05
28,33.98,35.2,33.7,35.06
29,32.03,34.3,32.03,34.01
30,33.4,33.68,33.01,33.11
31,32.6,33.4,32.1,32.94
32,33.72,33.72,32.5,32.8
33,33.0,33.51,32.7,33.44
34,31.85,33.06,31.85,32.87
35,31.45,32.0,31.1,31.83
36,30.49,31.49,30.45,30.97
37,30.5,30.78,29.9,30.25
38,30.35,30.9,30.01,30.15
39,30.3,30.6,30.11,30.28
40,30.5,30.6,30.11,30.21
41,29.03,30.5,29.03,30.3
42,30.0,30.2,29.6,29.7
43,30.0,30.45,29.38,30.18
44,30.58,30.6,30.04,30.19
45,30.0,30.49,29.85,30.4
46,29.89,30.05,29.71,30.0
47,30.07,30.38,29.53,29.67
48,30.38,30.44,29.8,29.95
49,30.9,30.9,29.8,29.95
50,31.2,31.2,30.5,30.81
51,31.05,31.2,30.3,31.0
52,30.75,30.95,30.2,30.54
53,30.33,31.0,30.3,30.78
54,31.14,31.29,30.73,30.88
55,32.0,32.2,30.8,30.95
56,32.0,32.2,31.6,31.84
57,32.01,32.15,31.2,31.64
58,31.3,32.0,31.3,31.75
59,31.3,31.9,31.23,31.53
60,30.26,31.4,30.21,31.21
61,30.55,31.4,29.95,30.08
62,31.07,31.2,30.51,30.59
63,30.03,30.89,29.62,30.79
64,30.1,30.35,29.8,29.95
65,31.2,31.37,29.8,30.12
66,31.4,31.46,30.81,31.02
67,31.75,32.3,31.22,31.55
68,31.5,32.5,31.45,31.67
69,31.1,31.5,31.0,31.35
70,31.19,31.2,30.5,31.07
71,31.5,31.8,30.7,30.96
72,30.88,31.42,30.7,30.82
73,31.6,32.3,30.12,30.38
74,31.4,31.6,31.01,31.38
75,31.1,31.5,30.7,31.01
76,32.0,32.6,30.7,30.84
77,29.6,31.89,29.6,31.49
78,28.56,29.7,28.56,29.41
79,27.7,28.69,27.67,28.3
80,27.0,27.65,27.0,27.52
81,27.5,27.8,26.8,26.96
82,27.19,27.2,26.53,27.18
83,27.2,27.5,26.7,26.84
84,26.7,27.48,26.6,27.27
85,26.4,26.8,26.4,26.61
86,27.2,27.2,26.38,26.4
87,26.37,27.2,26.37,27.19
88,27.3,27.3,26.3,26.43
89,27.9,27.95,27.01,27.23
90,27.5,27.88,27.11,27.71
91,27.99,27.99,27.23,27.37
92,28.0,28.1,27.6,27.98
93,27.57,28.1,27.57,27.8
94,28.0,28.03,27.6,27.72
95,27.98,28.3,27.62,28.02
96,27.9,28.3,27.63,27.82
97,27.0,28.4,27.0,27.93
98,28.0,28.38,27.6,28.06
99,28.0,29.2,27.9,28.0
