,Open,High,Low,Close
0,497.0,505.3,497.0,504.03
1,503.5,509.88,503.5,506.93
2,507.5,512.5,497.1,510.53
3,510.2,511.13,505.0,507.93
4,508.0,515.0,503.5,512.95
5,512.5,512.5,505.5,510.35
6,510.63,515.5,506.7,514.23
7,514.23,518.93,512.8,513.93
8,515.0,515.0,510.75,513.68
9,515.05,517.0,509.83,515.38
10,517.5,519.75,505.65,508.93
11,509.5,515.63,508.25,514.33
12,514.0,523.0,514.0,522.13
13,522.0,528.28,520.53,526.85
14,527.0,527.0,520.2,524.43
15,522.53,526.5,520.9,523.8
16,523.8,529.63,522.28,526.63
17,527.5,534.93,526.75,532.4
18,532.48,539.35,531.0,535.6
19,533.0,536.5,528.5,532.5
20,534.5,536.23,532.15,534.65
21,534.0,538.33,527.63,529.15
22,532.5,533.4,528.35,530.75
23,535.0,535.5,523.6,527.83
24,525.08,531.58,525.08,529.4
25,529.95,536.78,521.5,534.93
26,533.05,535.63,530.03,532.0
27,540.0,542.25,535.43,540.63
28,542.5,546.1,536.0,544.15
29,544.15,549.9,542.18,548.3
30,550.0,552.45,544.0,545.53
31,549.38,550.45,542.83,546.15
32,550.0,550.0,542.8,546.0
33,546.03,557.5,546.0,556.7
34,556.0,562.5,555.0,562.18
35,564.0,568.0,552.5,557.3
36,559.85,568.0,553.4,566.73
37,565.0,565.35,557.5,558.98
38,560.0,569.0,556.98,558.73
39,557.5,567.0,556.85,563.7
40,563.5,567.5,561.5,566.48
41,567.0,567.0,559.4,560.33
42,555.03,572.4,555.03,570.93
43,567.5,573.43,567.5,572.35
44,569.0,572.73,565.0,569.0
45,570.65,575.5,566.5,574.95
46,574.55,574.55,565.25,570.08
47,571.6,582.98,566.43,581.53
48,589.0,589.0,575.7,576.8
49,576.98,576.98,566.13,570.45
50,570.45,570.75,566.23,568.48
51,568.58,574.1,568.08,570.15
52,568.58,574.6,567.0,568.55
53,567.65,571.13,567.65,570.35
54,570.5,587.75,570.5,586.3
55,589.45,592.5,583.03,590.73
56,591.23,594.83,588.5,593.68
57,594.98,597.4,589.03,590.03
58,590.4,592.1,588.73,590.68
59,590.5,590.5,585.9,587.6
60,586.85,590.0,580.25,587.63
61,588.0,592.98,584.95,586.05
62,586.5,591.0,585.03,585.5
63,587.5,589.75,584.0,587.1
64,587.5,589.18,580.33,581.2
65,580.0,581.4,576.25,579.98
66,579.7,586.48,578.13,580.6
67,579.9,581.5,575.5,576.63
68,576.45,578.23,572.13,575.8
69,579.95,585.13,575.98,584.65
70,584.65,584.65,577.9,581.18
71,581.5,589.13,581.5,584.6
72,582.5,589.5,580.0,586.23
73,586.4,586.4,580.98,582.78
74,583.98,587.5,583.0,585.2
75,582.0,596.15,582.0,594.88
76,584.85,585.5,573.3,580.88
77,582.5,584.95,576.48,579.03
78,581.48,586.5,578.5,583.93
79,584.5,584.53,580.0,583.93
80,584.98,589.5,581.15,587.95
81,589.45,592.3,585.6,586.95
82,588.78,589.38,584.63,585.75
83,585.5,586.0,581.0,582.53
84,584.53,594.4,580.5,591.85
85,593.5,593.5,585.28,586.1
86,595.98,600.65,592.05,599.15
87,597.5,602.5,597.25,599.8
88,602.5,602.5,596.43,597.13
89,600.0,600.98,596.25,600.13
90,602.5,613.18,597.63,611.8
91,612.05,619.25,611.25,615.38
92,616.0,616.0,607.13,609.03
93,614.75,618.63,613.0,616.05
94,615.95,619.75,611.58,614.23
95,615.0,617.5,610.5,615.73
96,617.5,624.5,612.63,623.28
97,622.5,622.78,618.05,619.35
98,620.53,623.88,615.03,618.48
99,619.53,625.0,617.5,623.95
100,625.0,625.0,617.53,623.28
101,623.28,629.43,614.23,620.83
102,622.78,628.03,620.0,622.1
103,622.05,624.83,615.5,620.13
104,622.78,623.2,617.0,620.98
105,622.5,627.93,621.0,624.5
106,626.5,627.38,622.1,624.95
107,629.5,629.5,618.5,623.63
108,625.0,625.5,611.5,614.73
109,614.45,617.48,611.78,614.15
110,616.0,617.5,610.0,614.18
111,614.38,618.53,607.98,612.98
112,615.05,618.63,613.5,617.08
113,618.63,626.6,618.25,625.6
114,626.0,626.0,620.43,622.48
115,622.48,627.03,620.68,624.43
116,627.75,627.75,623.03,625.9
117,624.28,632.25,624.0,631.1
118,633.0,633.75,627.25,628.85
119,630.0,630.88,626.5,628.95
120,628.85,628.85,617.63,619.18
121,622.5,642.5,612.5,633.75
122,634.0,647.35,632.78,645.38
123,645.38,645.38,633.18,640.13
124,642.03,644.25,640.75,642.23
125,642.5,652.5,642.5,649.53
126,650.53,652.5,641.55,643.88
127,649.98,649.98,641.75,644.73
128,645.0,646.9,639.53,645.28
129,639.98,642.85,636.35,639.98
130,640.0,640.0,632.75,634.88
131,634.88,642.7,634.88,639.78
132,645.0,652.5,643.0,649.03
133,649.03,651.0,644.03,645.0
134,649.5,649.5,642.13,643.8
135,646.03,649.18,644.0,646.4
136,654.0,657.78,650.15,653.83
137,653.83,659.1,651.5,656.58
138,657.0,657.0,646.63,648.43
139,654.9,654.9,647.1,648.85
140,650.03,650.5,644.53,647.5
141,649.25,653.0,636.18,638.53
142,638.55,640.98,633.63,635.85
143,637.78,645.0,637.78,643.43
144,649.5,649.5,641.28,644.78
145,649.95,649.95,638.5,642.2
146,644.0,647.5,639.9,641.38
147,641.38,643.5,638.0,640.55
148,640.75,643.83,639.5,642.2
149,642.15,642.15,628.5,631.95
150,634.45,634.45,620.0,630.73
151,635.0,635.0,616.5,618.9
152,620.5,630.0,620.08,628.7
153,633.0,633.0,624.0,629.28
154,630.0,633.5,625.75,627.68
155,628.0,636.18,625.1,635.18
156,637.48,637.98,631.5,632.7
157,632.75,632.75,622.38,625.2
