,Open,High,Low,Close
0,652.55,659.84,649.12,658.17
1,662.13,682.04,662.13,676.99
2,678.42,685.42,678.18,681.56
3,679.85,683.51,674.89,678.75
4,680.23,683.94,673.65,675.8
5,674.99,677.8,668.13,671.08
6,674.7,679.75,670.7,677.7
7,681.18,693.57,680.8,685.37
8,685.94,691.99,676.66,683.18
9,683.09,698.19,681.32,694.95
10,695.52,699.66,689.04,691.9
11,695.47,700.14,680.23,684.8
12,690.71,695.38,664.03,670.37
13,673.56,683.18,670.37,673.61
14,676.13,676.13,664.98,672.61
15,672.61,679.08,670.99,675.37
16,673.08,682.13,666.6,675.23
17,676.42,679.75,654.36,659.79
18,661.94,667.37,652.6,659.08
19,664.98,671.65,660.89,670.03
20,669.56,674.18,662.36,668.27
21,673.56,673.56,654.5,658.17
22,657.36,662.13,649.17,652.79
23,648.12,649.65,638.02,645.98
24,648.98,657.27,644.6,654.17
25,659.27,674.99,659.27,668.18
26,666.7,673.37,657.89,667.56
27,668.99,683.99,668.99,677.61
28,681.18,682.94,673.18,677.94
29,680.23,681.85,673.32,677.61
30,677.37,679.08,670.56,674.27
31,673.56,674.99,665.89,668.65
32,668.8,678.23,664.79,670.94
33,670.7,676.99,669.75,675.75
34,673.13,673.56,658.7,662.27
35,663.08,664.98,645.45,648.5
36,650.69,659.36,648.79,655.17
37,652.6,654.22,639.45,643.98
38,636.31,638.31,629.35,636.45
39,637.36,656.98,637.36,655.36
40,657.27,679.28,652.84,663.89
41,668.7,672.94,662.51,666.89
42,667.7,674.75,654.27,656.6
43,657.36,660.94,644.69,649.84
44,651.65,656.41,639.31,653.41
45,659.46,666.6,659.27,662.08
46,660.22,680.7,643.07,671.37
47,675.46,678.32,671.89,676.7
48,684.04,684.04,659.89,669.32
49,668.8,683.85,668.8,681.66
50,683.47,683.47,673.75,676.99
51,680.23,689.75,679.04,687.28
52,689.75,694.33,683.61,687.66
53,688.8,703.04,688.8,699.9
54,701.19,709.14,695.47,697.81
55,697.85,700.9,687.09,689.47
56,689.09,696.19,681.7,694.61
57,697.95,701.9,696.28,698.61
58,700.71,727.86,697.33,724.77
59,724.05,739.3,724.05,733.86
60,738.49,743.11,728.91,732.58
61,732.63,743.2,731.67,735.77
62,735.48,738.34,726.62,735.34
63,735.06,740.82,731.86,735.1
64,734.72,739.72,724.05,734.58
65,737.39,755.06,735.01,746.15
66,745.01,745.96,724.77,730.05
67,731.77,740.39,721.19,737.63
68,740.25,742.87,711.33,716.29
69,716.43,725.96,707.57,716.1
70,717.67,720.48,712.52,716.53
71,718.15,749.63,717.29,743.15
72,743.11,744.01,719.15,727.29
73,730.72,736.68,723.24,732.63
74,733.58,753.2,733.58,745.73
75,742.2,746.58,735.25,738.87
76,732.5,747.25,702.05,705.05
77,706.25,712.65,682.2,696.3
78,690.0,692.5,666.0,669.7
79,664.0,673.8,650.8,664.55
80,639.05,679.25,634.4,664.95
81,666.5,682.05,656.95,660.55
82,660.9,676.9,654.0,671.35
83,665.4,688.35,661.0,683.65
84,718.0,718.0,697.8,712.5
85,718.0,720.6,705.25,708.35
86,711.8,718.4,696.05,699.85
87,705.4,709.35,683.85,688.3
88,690.8,692.0,639.0,648.25
89,654.0,661.35,648.2,650.75
90,655.4,655.4,633.0,640.55
91,639.9,647.5,634.0,637.85
92,640.1,684.35,640.0,677.8
93,678.7,692.0,672.55,680.25
94,683.0,686.75,670.1,671.85
95,663.85,675.0,660.0,671.6
96,671.35,685.0,670.05,675.05
97,669.25,669.3,651.8,655.9
98,664.85,674.0,656.55,659.75
99,657.0,661.4,644.65,647.7
100,656.9,660.95,632.7,635.9
101,640.05,646.75,601.5,606.75
102,614.45,626.4,606.4,622.9
103,623.0,633.2,614.35,628.85
104,624.0,630.9,618.6,620.55
105,620.0,622.6,609.6,611.75
106,611.75,613.9,594.4,600.2
107,600.0,601.9,572.85,574.95
108,571.0,600.9,568.45,593.0
109,598.95,601.7,580.5,582.25
110,582.7,587.45,572.0,580.9
111,560.05,568.8,553.5,566.5
112,568.9,588.35,560.8,581.55
113,590.45,599.0,587.55,590.0
114,581.05,583.0,565.3,571.05
115,573.1,580.3,568.1,578.8
116,570.2,585.45,568.35,579.7
117,583.1,590.5,557.55,560.55
118,573.85,583.6,569.5,580.45
119,574.85,589.9,573.0,587.2
120,589.5,595.75,583.4,586.15
121,593.0,604.6,592.3,601.9
122,608.0,610.9,600.35,608.05
123,606.9,608.75,596.7,598.4
124,600.0,604.7,590.4,594.05
125,591.0,596.8,585.15,591.6
126,595.0,604.6,591.95,596.05
127,600.95,604.9,594.6,601.6
128,606.05,624.5,606.05,621.95
129,618.95,618.95,602.6,606.2
130,608.3,611.0,600.1,606.6
131,594.45,601.8,589.4,597.55
132,598.0,598.5,584.3,586.2
133,588.0,591.55,576.7,578.2
134,582.95,594.75,581.25,589.8
135,591.65,599.9,586.0,594.95
136,597.1,597.4,572.95,574.5
137,574.0,587.4,568.1,585.45
138,586.7,589.8,579.25,580.75
139,585.95,597.95,581.0,596.45
140,600.0,604.2,590.5,596.35
141,593.4,608.85,592.55,603.15
142,603.9,606.8,591.15,594.15
143,597.0,610.55,591.2,607.25
144,608.2,614.95,602.3,610.35
145,609.0,636.8,605.5,625.95
146,626.0,632.5,616.95,621.25
147,629.95,630.8,602.15,610.3
148,615.0,616.7,590.35,591.4
149,592.5,600.75,574.75,577.0
150,578.1,583.5,569.5,576.8
151,576.0,576.0,537.4,540.05
152,543.9,553.9,536.55,548.2
153,554.0,570.8,552.0,568.25
154,571.0,579.45,565.1,576.65
155,574.95,588.0,569.35,575.35
156,568.05,581.5,567.55,577.9
157,584.0,587.3,572.05,575.65
158,570.0,579.6,556.3,560.65
159,564.05,572.5,560.3,566.15
160,566.8,574.9,560.6,572.1
161,574.45,581.7,569.2,579.75
162,582.1,603.9,581.9,602.1
163,599.0,608.2,592.0,600.5
164,601.05,605.5,586.25,588.65
165,586.95,588.75,577.2,580.0
166,579.6,583.8,566.0,567.6
167,567.0,574.8,561.0,569.55
168,571.2,574.8,562.0,566.0
169,563.0,563.45,547.3,558.5
170,558.0,565.6,549.45,555.0
171,556.25,565.9,553.3,563.25
172,568.95,568.95,556.1,557.75
173,560.4,564.6,556.1,561.85
174,559.8,564.8,556.35,558.6
175,558.35,559.9,538.25,549.5
176,551.7,552.5,539.1,543.2
