,Open,High,Low,Close
0,159.98,159.98,151.41,153.18
1,174.01,174.01,161.94,162.76
2,165.6,169.24,165.6,167.67
3,169.18,170.19,165.46,167.33
4,171.2,171.2,165.93,167.13
5,179.57,181.14,171.85,173.31
6,165.6,178.48,165.03,177.07
7,179.62,180.13,165.06,167.2
8,170.09,176.68,169.74,174.77
9,174.01,174.01,167.58,169.74
10,167.84,169.97,162.0,166.29
11,174.57,179.07,168.71,169.91
12,182.43,183.83,178.34,179.03
13,189.01,189.17,182.74,184.48
14,188.04,188.58,182.23,186.86
15,186.36,189.93,185.85,187.18
16,186.92,187.49,177.97,184.51
17,177.94,183.95,173.45,179.94
18,169.69,178.22,167.28,176.88
19,145.83,167.58,145.83,164.81
20,168.4,168.4,129.78,147.37
21,179.62,188.61,157.22,162.0
22,170.65,182.99,164.61,178.51
23,174.01,179.4,168.4,177.21
24,182.43,182.43,169.16,172.5
25,190.85,193.09,183.14,186.5
26,206.46,206.46,193.18,194.14
27,202.08,206.79,201.57,205.61
28,199.28,200.62,196.25,199.28
29,193.35,200.33,192.0,196.41
30,199.55,201.21,189.56,192.25
31,207.57,208.08,199.28,200.84
32,214.94,215.16,205.9,206.79
33,218.92,218.92,210.5,215.63
34,225.09,225.09,211.77,212.85
35,234.35,234.47,228.6,229.78
36,238.57,238.57,229.09,230.12
37,224.53,232.98,223.24,231.72
38,222.01,224.79,217.85,223.66
39,222.28,223.41,217.88,219.74
40,224.53,224.53,219.99,222.01
41,222.28,225.15,220.88,222.23
42,230.14,230.14,219.87,221.05
43,222.86,227.34,218.92,226.52
44,226.39,227.42,220.97,222.43
45,221.39,227.28,217.01,224.79
46,222.86,226.64,217.8,220.66
47,230.14,230.14,220.68,222.79
48,228.91,231.92,225.47,228.07
49,224.53,226.98,217.8,226.48
50,216.0,221.17,214.71,220.58
51,214.43,217.18,211.12,215.27
52,213.3,217.51,210.83,214.48
53,213.3,214.38,204.1,213.05
54,212.69,213.56,208.0,210.92
55,201.93,211.37,200.11,208.67
56,203.76,206.01,197.68,199.97
57,204.54,209.52,202.75,204.13
58,217.8,217.8,203.91,204.96
59,216.84,221.05,211.93,217.93
