,Open,High,Low,Close
0,55.6,55.6,52.6,54.36
1,57.0,57.2,56.11,56.34
2,56.6,57.38,55.6,55.81
3,56.2,57.17,55.82,56.81
4,57.0,57.7,56.4,56.54
5,57.6,57.6,56.1,56.75
6,57.72,57.9,56.82,57.37
7,56.98,58.04,56.52,57.44
8,56.11,56.6,55.1,56.31
9,56.6,57.25,54.9,55.86
10,57.5,58.65,56.2,56.5
11,56.6,57.64,56.21,57.23
12,59.2,59.9,58.12,58.44
13,57.02,59.43,56.91,59.1
14,56.0,56.99,55.72,56.74
15,56.7,57.3,55.54,55.81
16,56.28,57.9,56.26,57.57
17,53.96,56.8,53.81,56.16
18,52.4,53.9,50.66,53.24
19,52.4,52.8,51.8,52.33
20,52.4,52.6,51.28,51.64
21,54.2,54.5,52.58,52.82
22,53.6,54.0,52.3,53.27
23,53.2,55.13,52.6,54.92
24,53.42,54.8,52.6,53.08
25,54.88,55.4,53.93,54.59
26,54.0,55.36,52.52,54.73
27,55.4,55.4,54.23,54.57
28,55.2,55.98,54.91,55.43
29,55.2,55.55,53.23,54.52
30,56.16,56.22,54.6,55.11
31,53.6,55.87,53.57,55.69
32,52.96,53.84,52.44,52.9
33,55.22,55.26,53.6,54.13
34,55.0,55.85,54.0,55.39
35,57.78,58.08,55.71,55.94
36,56.94,57.95,56.31,57.35
37,59.0,59.48,56.7,57.1
38,55.8,59.08,55.8,58.63
39,54.48,55.96,54.04,55.49
40,56.28,57.14,54.83,55.1
41,54.8,56.5,54.64,56.28
42,54.0,54.58,53.41,54.17
43,54.0,54.79,53.42,53.66
44,51.22,54.5,51.22,54.18
45,51.0,51.72,50.3,51.38
46,49.4,51.0,48.8,50.59
47,49.98,50.56,49.4,49.99
48,51.8,52.4,50.2,50.42
49,52.85,52.85,51.5,51.68
50,52.7,52.97,52.1,52.65
51,51.2,52.99,51.2,52.68
52,51.84,52.42,51.47,51.93
53,52.8,52.8,51.4,52.04
54,52.8,53.45,52.24,52.65
55,52.0,53.06,51.99,52.84
56,50.67,52.0,50.67,51.58
57,51.35,51.78,50.46,50.97
58,51.96,52.06,51.2,51.34
59,50.58,52.0,50.58,51.49
60,48.6,50.5,48.53,50.28
61,47.62,48.49,47.3,48.24
62,48.2,50.71,47.41,47.62
63,48.36,49.2,47.82,47.99
64,50.2,50.46,48.77,49.39
65,49.3,50.12,48.8,49.83
66,49.39,49.6,49.0,49.19
67,49.8,50.0,48.62,48.96
68,50.26,50.56,49.51,49.74
69,50.63,51.7,50.6,50.74
70,50.8,50.8,49.4,50.38
71,49.4,50.08,49.2,49.6
72,50.76,50.9,49.6,49.78
73,50.68,51.2,50.3,50.75
74,51.0,51.36,49.98,50.28
75,49.94,51.16,49.55,50.77
76,49.5,50.2,49.12,49.96
77,47.8,49.36,47.68,49.01
78,45.2,48.19,44.6,47.32
79,46.76,46.76,44.7,44.95
80,46.8,47.3,45.94,46.21
81,47.22,47.54,47.0,47.21
82,46.2,48.0,46.2,46.83
83,47.0,47.0,45.5,45.9
84,48.4,48.48,47.05,47.26
85,48.4,48.8,47.54,48.34
86,47.06,48.4,46.45,47.91
87,47.6,47.8,46.4,46.92
88,47.02,47.92,46.9,47.47
89,47.8,48.4,46.31,46.59
90,48.0,49.05,39.0,45.16
91,50.4,50.47,49.0,49.55
92,51.2,51.4,50.0,50.47
93,50.8,51.4,49.05,50.17
94,52.0,53.7,51.5,51.74
95,52.2,53.0,51.0,51.43
96,51.4,52.59,49.65,51.61
97,53.2,55.56,51.22,51.69
98,51.0,52.57,51.0,52.1
99,53.4,53.8,50.7,51.92
100,51.8,53.32,50.3,52.81
101,52.6,52.72,51.8,52.09
102,53.0,53.36,51.63,52.15
103,51.8,53.82,51.6,53.01
104,49.99,52.2,49.44,51.68
105,50.1,50.72,49.5,49.81
106,49.69,50.7,49.04,49.92
107,47.6,50.0,47.42,49.69
108,47.6,47.85,47.02,47.34
109,47.6,48.0,46.13,46.75
110,48.8,48.8,46.71,47.07
111,49.6,50.0,46.62,47.36
112,47.4,49.2,46.6,48.69
113,49.26,50.59,47.01,47.78
114,51.0,51.98,49.66,50.01
115,52.0,52.44,50.8,51.11
116,51.01,53.09,51.01,51.74
117,52.4,54.0,52.1,52.34
118,49.43,52.2,49.43,51.64
119,49.9,50.46,48.16,48.96
120,50.3,50.66,48.45,49.21
121,51.0,51.28,49.12,49.83
122,45.0,51.0,45.0,49.98
123,46.4,47.1,46.3,46.55
124,45.0,46.7,45.0,46.18
125,46.0,46.98,44.06,44.43
126,46.4,47.1,45.34,45.67
127,45.4,47.59,45.4,46.28
128,46.58,47.4,44.4,45.74
129,46.9,48.78,45.2,45.83
130,46.2,47.4,44.0,46.06
131,47.4,48.8,45.62,46.06
132,48.4,50.98,46.4,47.34
133,48.18,48.96,47.8,48.17
134,47.2,49.4,47.02,47.75
135,46.0,47.96,45.0,47.29
136,44.8,45.76,44.41,45.04
137,44.0,45.0,43.04,43.77
138,44.0,44.5,40.02,44.17
139,45.2,45.2,44.0,44.59
140,43.0,44.1,42.42,43.73
141,44.7,45.16,42.8,43.97
142,45.04,45.8,44.2,44.57
143,45.5,46.48,44.7,44.98
144,42.25,46.1,42.25,45.16
145,44.4,45.2,43.61,44.27
146,45.4,46.0,43.2,43.48
147,45.23,47.3,43.5,45.79
148,43.6,44.9,43.3,44.66
149,41.5,44.64,40.82,42.72
150,42.76,42.8,41.23,41.99
151,42.84,43.0,41.04,42.15
152,38.4,41.54,38.4,41.13
153,35.0,37.88,33.6,37.39
154,38.4,39.6,34.02,35.06
155,41.88,42.8,36.0,38.19
156,40.0,41.77,37.0,40.85
157,41.95,42.96,41.82,42.13
158,39.2,42.01,39.0,41.22
159,39.2,40.4,38.4,38.84
160,39.4,39.6,38.5,39.04
161,39.0,39.8,38.6,38.95
162,36.4,38.98,36.13,38.65
163,40.0,40.1,36.44,37.05
164,41.38,41.38,39.3,39.64
165,41.0,42.0,40.1,40.81
166,42.5,43.0,39.42,41.1
167,41.8,42.9,41.4,42.26
168,39.4,41.75,39.0,41.36
169,40.0,40.45,38.82,39.08
170,38.4,40.4,38.2,39.33
171,37.58,39.08,37.5,38.11
172,37.68,37.95,37.0,37.39
173,37.2,38.38,37.01,37.32
174,37.61,37.85,36.8,37.18
175,38.0,38.5,37.21,37.46
176,35.4,37.5,35.3,36.87
177,36.2,36.49,35.62,35.87
178,37.18,37.2,35.6,35.81
179,37.2,37.46,36.38,36.66
180,37.0,37.58,36.6,36.95
181,37.57,37.68,36.64,36.79
182,37.8,37.8,36.5,37.19
183,38.38,39.16,37.25,37.54
184,36.98,38.7,36.82,37.89
185,37.05,37.83,36.5,36.72
186,38.37,38.6,37.15,37.29
187,37.4,38.98,37.21,38.13
188,34.43,39.0,34.43,36.99
189,33.98,34.4,33.41,33.55
190,33.4,33.94,32.9,33.35
191,34.5,34.75,33.5,33.82
192,33.12,35.0,33.0,34.52
193,30.2,32.8,30.2,32.58
194,32.6,33.1,30.81,31.09
195,32.8,32.97,31.24,31.8
196,34.6,34.6,31.4,32.45
197,35.58,36.4,33.9,34.2
198,34.99,35.4,33.1,33.92
199,34.0,35.78,34.0,34.99
200,36.5,36.59,35.76,35.93
201,36.78,37.07,36.3,36.41
202,35.36,36.77,34.82,36.39
203,38.76,38.76,36.4,36.69
204,37.2,37.96,36.6,36.81
205,37.9,38.6,36.62,37.28
206,38.1,38.1,36.6,37.76
207,37.78,38.96,37.44,37.8
208,36.6,37.8,36.45,37.43
209,37.5,37.6,36.0,36.22
210,36.98,38.35,36.52,37.93
211,35.82,36.88,35.6,36.67
212,35.61,36.2,35.02,35.93
213,36.78,37.16,36.33,36.57
214,36.56,37.2,35.62,36.36
215,36.8,36.8,36.1,36.27
216,36.4,36.58,35.8,36.34
217,36.9,37.16,36.25,36.32
218,35.7,36.8,35.7,36.67
219,36.1,36.2,35.4,35.72
220,36.88,37.37,35.7,36.16
221,36.82,37.15,36.6,36.7
222,37.3,37.62,36.4,36.6
223,37.9,37.9,36.6,36.9
224,36.79,37.7,36.6,37.04
225,39.14,39.14,36.5,36.97
226,39.68,39.68,38.64,38.79
227,38.88,39.98,37.63,39.28
228,38.99,39.0,37.6,38.56
229,37.11,41.04,36.94,38.71
230,37.18,37.6,36.7,36.89
231,35.98,37.08,35.6,36.81
232,34.58,36.38,34.4,35.98
233,34.18,34.69,33.84,34.43
234,34.22,34.4,33.22,33.85
235,34.3,35.34,34.0,34.18
236,31.7,34.54,31.0,34.15
237,31.82,31.82,31.21,31.52
238,31.97,31.98,31.4,31.69
239,31.94,32.3,31.3,31.7
240,30.89,32.05,30.89,31.79
241,31.0,32.18,30.65,30.76
242,31.28,31.7,30.4,30.64
243,31.02,31.45,30.6,30.81
244,31.6,32.0,30.5,30.82
245,32.4,32.4,31.14,31.61
246,33.08,33.4,32.1,32.26
247,33.18,33.2,32.53,32.62
248,33.6,33.8,32.9,33.32
249,34.2,34.2,33.24,33.74
250,33.96,34.46,33.12,34.11
251,34.18,35.2,33.71,33.86
252,33.89,34.1,33.5,33.83
253,33.58,33.95,33.2,33.51
254,33.7,34.08,33.01,33.23
255,34.18,34.34,33.75,34.0
256,34.48,34.98,33.63,33.89
257,33.4,34.37,33.03,34.16
258,34.09,34.56,33.61,33.77
259,33.7,35.38,33.42,33.87
260,34.0,34.2,33.04,33.7
261,35.2,35.48,33.8,33.87
262,35.0,36.14,34.45,34.87
263,32.8,35.17,32.8,34.76
264,32.05,33.2,32.05,32.75
265,31.56,32.12,31.18,31.82
266,31.06,32.4,30.9,31.32
267,30.6,31.0,30.2,30.85
268,30.96,31.64,30.8,31.02
269,29.67,30.88,29.11,30.64
270,30.0,30.15,29.3,29.36
271,30.51,30.76,29.93,30.0
272,30.6,30.7,30.3,30.49
273,30.66,30.85,30.28,30.39
274,30.48,31.12,30.01,30.31
275,31.26,31.26,30.16,30.34
276,31.0,31.99,30.43,31.15
277,30.88,31.2,30.5,30.62
278,29.6,31.4,29.51,30.71
279,30.48,30.48,29.22,29.42
280,30.55,30.9,29.62,30.02
281,30.1,30.8,29.4,30.23
282,30.78,31.36,30.1,30.25
283,31.0,31.6,30.1,30.28
284,30.09,31.0,30.09,30.72
285,30.0,30.58,29.52,29.89
286,29.98,30.3,29.25,29.95
287,29.68,30.58,29.32,30.09
288,29.38,29.6,28.92,29.44
